Unnamed: 0,time,type,chap,detaT
206172,2014-10-29 18:08:48,page_close,chap5,0
206173,2014-10-29 18:08:48,video_event,chap5,0
206187,2014-10-29 18:12:10,problem_check,chap5,0
206188,2014-10-29 18:12:13,page_close,chap5,0
206189,2014-10-29 18:12:13,video_event,chap5,0
206201,2014-10-29 18:15:46,problem_check,chap5,0
206202,2014-10-29 18:15:49,page_close,chap5,0
206203,2014-10-29 18:15:49,video_event,chap5,0
206204,2014-10-29 18:15:54,page_close,chap5,0
206232,2014-10-29 18:21:32,problem_check,chap5,0
206233,2014-10-29 18:21:39,problem_check,chap5,0
206237,2014-10-29 18:23:08,page_close,chap5,0
227809,2014-11-06 14:46:10,page_close,chap5,8
227814,2014-11-06 14:47:38,page_close,chap6,1
227815,2014-11-06 14:47:38,video_event,chap6,1
227816,2014-11-06 14:47:47,page_close,chap6,1
227842,2014-11-06 14:59:42,problem_check,chap6,1
227843,2014-11-06 15:00:59,problem_check,chap6,1
227844,2014-11-06 15:01:03,page_close,chap6,1
227845,2014-11-06 15:01:03,video_event,chap6,1
227846,2014-11-06 15:01:09,page_close,chap6,1
227847,2014-11-06 15:01:30,page_close,chap6,1
227848,2014-11-06 15:01:30,video_event,chap6,1
227851,2014-11-06 15:06:03,problem_check,chap6,1
227854,2014-11-06 15:06:27,problem_check,chap6,1
227855,2014-11-06 15:06:30,page_close,chap6,1
227856,2014-11-06 15:06:30,video_event,chap6,1
227861,2014-11-06 15:11:35,problem_check,chap6,1
227862,2014-11-06 15:11:54,problem_check,chap6,1
227863,2014-11-06 15:11:57,page_close,chap6,1
227864,2014-11-06 15:11:57,video_event,chap6,1
227874,2014-11-06 15:15:38,problem_check,chap6,1
227875,2014-11-06 15:16:02,problem_check,chap6,1
227876,2014-11-06 15:16:06,page_close,chap6,1
227877,2014-11-06 15:16:06,video_event,chap6,1
227879,2014-11-06 15:16:33,page_close,chap6,1
342248,2014-12-04 21:54:01,page_close,chap8,15
